Police_SIN,Event_Code
702 417 627,0
441 058 310,1
766 581 524,2
764 165 874,3
386 107 148,4
226 604 189,5
320 725 732,6
802 846 550,7
415 430 750,8
073 843 245,9
115 640 880,10
134 851 344,11
534 680 186,12
147 731 624,13
405 173 345,14
416 780 161,15
172 283 087,16
613 448 075,17
223 388 059,18
127 726 602,19
306 155 748,20
203 348 859,21
654 688 019,22
816 250 161,23
226 604 189,24
817 067 168,25
401 674 536,26
410 458 350,27
110 733 482,28
684 405 269,29
580 465 227,30
510 583 768,31
261 287 080,32
402 613 889,33
381 152 602,34
037 451 457,35
301 472 239,36
026 627 745,37
823 860 119,38
378 841 050,39
084 524 370,40
207 237 645,41
560 423 188,42
341 170 520,43
410 458 350,44
765 261 102,45
320 417 611,46
823 860 119,47
057 431 520,48
038 841 557,49
260 573 829,50
320 725 732,51
755 662 244,52
431 156 702,53
273 385 724,54
061 341 871,55
317 455 608,56
714 330 552,57
742 266 109,58
052 854 437,59
507 681 138,60
135 428 068,61
771 034 220,62
642 772 057,63
026 814 566,64
405 825 837,65
378 841 050,66
013 865 472,67
516 508 868,68
325 183 705,69
706 781 358,70
647 112 309,71
473 310 282,72
177 104 460,73
620 881 169,74
557 103 868,75
032 718 868,76
134 706 886,77
352 044 689,78
554 320 861,79
608 775 268,80
086 226 875,81
304 473 259,82
168 803 229,83
857 346 514,84
860 158 138,85
460 564 586,86
517 530 432,87
380 327 122,88
615 804 325,89
278 668 108,90
178 823 068,91
453 768 244,92
320 328 172,93
527 166 805,94
033 782 111,95
645 270 257,96
510 213 382,97
611 830 548,98
654 881 309,99
722 567 864,100
026 711 341,101
547 643 106,102
354 423 709,103
032 718 868,104
586 622 805,105
766 025 548,106
865 561 401,107
247 052 137,108
601 772 866,109
523 311 744,110
432 475 507,111
243 743 101,112
813 567 484,113
815 866 405,114
701 443 277,115
728 035 536,116
644 108 177,117
664 801 859,118
178 823 068,119
728 166 174,120
864 108 139,121
754 781 300,122
541 802 617,123
560 322 745,124
108 728 338,125
766 152 144,126
334 805 272,127
620 156 851,128
258 802 339,129
853 061 521,130
728 035 536,131
547 260 117,132
705 413 227,133
144 853 264,134
617 610 878,135
347 701 450,136
052 882 537,137
384 405 619,138
123 088 619,139
458 867 066,140
814 066 585,141
018 255 737,142
258 802 339,143
513 348 805,144
526 820 162,145
074 476 250,146
754 704 260,147
521 170 837,148
357 452 200,149
562 582 031,150
183 401 470,151
558 620 621,152
554 320 861,153
107 347 866,154
268 348 109,155
066 547 886,156
655 844 017,157
504 825 860,158
203 348 859,159
201 266 749,160
734 110 869,161
234 610 582,162
227 410 537,163
458 833 209,164
704 733 146,165
406 586 776,166
228 076 550,167
320 853 245,168
044 331 759,169
853 203 586,170
320 325 871,171
044 331 759,172
642 817 407,173
118 668 474,174
