sin,salary_group
355 861 402,60k-70k
677 211 302,80k-90k
607 744 315,Under 5k
273 814 038,70k-80k
178 220 760,60k-70k
771 461 068,60k-70k
064 418 270,70k-80k
372 388 124,40k-50k
072 613 722,10k-20k
532 044 385,Under 5k
057 322 372,80k-90k
584 461 164,Under 5k
037 527 868,40k-50k
511 288 607,30k-40k
120 671 839,30k-40k
337 705 222,5k-10k
177 104 460,5k-10k
821 058 260,Over 100k
823 860 119,90k-100k
117 743 302,Under 5k
134 706 886,60k-70k
238 740 187,Over 100k
162 280 689,40k-50k
876 211 061,30k-40k
026 776 252,40k-50k
052 688 520,40k-50k
243 345 071,Under 5k
760 325 548,50k-60k
770 185 338,Under 5k
410 458 350,70k-80k
557 103 868,20k-30k
465 461 101,30k-40k
538 228 057,60k-70k
465 088 235,Under 5k
165 261 744,50k-60k
088 661 558,30k-40k
532 580 727,Under 5k
673 180 485,Over 100k
332 548 502,Over 100k
508 213 287,20k-30k
521 388 306,5k-10k
541 660 288,90k-100k
450 453 717,50k-60k
233 772 052,Under 5k
134 851 344,30k-40k
057 431 520,20k-30k
105 148 340,10k-20k
810 768 168,50k-60k
546 618 224,Under 5k
332 018 829,Under 5k
853 203 586,40k-50k
338 150 725,40k-50k
265 468 108,Over 100k
820 133 775,Under 5k
184 760 247,50k-60k
745 012 260,30k-40k
342 270 139,70k-80k
586 104 457,10k-20k
227 537 644,Over 100k
130 844 517,5k-10k
866 822 554,Under 5k
582 334 025,70k-80k
246 556 088,Under 5k
564 160 182,5k-10k
688 625 474,10k-20k
114 887 664,10k-20k
628 507 386,40k-50k
103 452 280,30k-40k
860 158 138,10k-20k
044 331 759,10k-20k
372 805 440,80k-90k
460 351 182,60k-70k
243 503 588,20k-30k
553 172 032,5k-10k
720 316 249,10k-20k
317 317 444,Over 100k
865 561 708,50k-60k
546 205 261,10k-20k
473 310 282,20k-30k
357 044 619,Under 5k
172 672 602,5k-10k
014 583 371,50k-60k
745 260 257,30k-40k
562 573 808,90k-100k
476 430 756,5k-10k
344 503 586,Over 100k
640 835 278,60k-70k
332 205 871,10k-20k
406 411 587,Over 100k
850 228 537,20k-30k
120 677 836,80k-90k
807 331 129,20k-30k
038 146 551,Under 5k
726 725 344,Under 5k
374 381 705,Over 100k
146 830 229,70k-80k
253 748 800,60k-70k
752 447 300,Over 100k
410 538 649,90k-100k
504 885 260,30k-40k
142 776 624,5k-10k
257 087 338,90k-100k
038 177 457,Under 5k
207 766 148,80k-90k
173 460 411,Over 100k
603 844 515,50k-60k
654 158 302,20k-30k
311 408 538,Under 5k
182 644 070,10k-20k
370 572 646,60k-70k
417 317 062,30k-40k
044 831 675,20k-30k
086 137 825,10k-20k
511 288 037,20k-30k
138 148 374,Over 100k
458 601 580,5k-10k
133 724 088,50k-60k
402 885 560,60k-70k
172 886 434,Under 5k
438 177 164,Under 5k
628 771 164,70k-80k
235 572 344,20k-30k
405 526 641,70k-80k
508 135 720,30k-40k
240 358 168,50k-60k
720 154 657,30k-40k
276 674 124,Over 100k
026 855 247,10k-20k
117 066 829,5k-10k
873 820 138,90k-100k
315 018 432,20k-30k
138 220 587,5k-10k
340 852 615,5k-10k
708 166 558,40k-50k
761 281 534,40k-50k
503 314 486,10k-20k
408 375 376,20k-30k
773 345 202,90k-100k
830 711 321,20k-30k
762 702 835,Under 5k
376 410 486,10k-20k
728 330 275,50k-60k
320 117 880,80k-90k
057 624 439,30k-40k
830 748 117,80k-90k
142 732 684,Over 100k
022 433 775,10k-20k
720 185 677,Over 100k
770 223 147,30k-40k
238 038 459,30k-40k
180 443 277,40k-50k
825 376 205,Under 5k
102 338 472,20k-30k
720 186 659,50k-60k
886 012 269,10k-20k
471 438 614,40k-50k
507 566 826,10k-20k
833 207 756,40k-50k
127 350 866,90k-100k
073 443 756,60k-70k
520 523 887,Over 100k
654 801 547,Over 100k
071 662 811,Over 100k
274 064 351,20k-30k
725 601 850,20k-30k
278 645 734,60k-70k
827 306 275,90k-100k
507 641 645,70k-80k
115 406 720,10k-20k
120 467 386,Under 5k
205 335 482,10k-20k
102 864 329,Over 100k
472 866 102,70k-80k
504 334 285,80k-90k
643 827 454,Over 100k
720 451 665,Over 100k
265 574 434,Under 5k
640 531 588,Over 100k
435 104 161,90k-100k
685 045 866,10k-20k
511 433 708,90k-100k
886 011 568,60k-70k
556 130 482,30k-40k
405 568 817,70k-80k
201 347 887,40k-50k
104 477 336,5k-10k
544 833 114,10k-20k
722 455 334,Over 100k
526 401 385,Under 5k
128 853 306,Over 100k
127 760 247,5k-10k
504 328 352,10k-20k
016 685 489,40k-50k
031 856 248,50k-60k
478 318 306,10k-20k
614 814 069,60k-70k
268 253 184,40k-50k
773 045 612,70k-80k
031 771 348,30k-40k
342 067 451,5k-10k
755 261 864,40k-50k
657 430 419,60k-70k
084 183 359,Over 100k
285 645 834,5k-10k
511 408 437,50k-60k
770 425 320,Over 100k
715 683 124,5k-10k
437 550 247,10k-20k
140 268 376,40k-50k
283 547 834,Under 5k
247 662 554,40k-50k
228 337 101,40k-50k
445 130 180,50k-60k
117 652 602,50k-60k
538 841 164,60k-70k
802 558 627,10k-20k
118 230 739,Under 5k
046 537 718,40k-50k
052 688 629,50k-60k
673 470 258,Under 5k
014 813 877,90k-100k
710 413 568,80k-90k
673 405 726,10k-20k
166 850 446,5k-10k
714 086 550,Over 100k
556 274 314,50k-60k
128 733 706,10k-20k
142 846 534,30k-40k
103 441 689,20k-30k
738 627 108,60k-70k
018 567 727,60k-70k
310 744 180,20k-30k
807 556 220,10k-20k
541 172 607,10k-20k
513 568 808,70k-80k
607 132 552,5k-10k
674 175 302,10k-20k
735 014 326,Over 100k
561 261 884,Over 100k
381 053 818,20k-30k
611 744 764,20k-30k
302 354 451,20k-30k
381 187 624,Under 5k
508 543 717,50k-60k
527 164 305,Under 5k
240 652 180,60k-70k
340 567 411,70k-80k
514 605 732,Under 5k
381 162 544,40k-50k
078 118 320,40k-50k
