 Police_SIN  Department  Num_Events_Handled  Departmental_Rank
703 325 449           1                 130                  1
130 834 526           1                 126                  2
253 082 580           1                 123                  3
504 885 260           1                 122                  4
871 230 736           1                 119                  5
310 372 875           1                 118                  6
061 341 871           1                 117                  7
073 841 850           1                 114                  8
261 287 080           1                 114                  8
228 033 759           1                 112                 10
604 156 141           1                 110                 11
221 403 371           1                 106                 12
410 538 649           2                 136                  1
337 154 454           2                 119                  2
647 112 309           2                 117                  3
880 317 268           2                 117                  3
642 210 777           2                 112                  5
714 330 552           2                 111                  6
376 210 282           2                  85                  7
621 450 717           3                 143                  1
223 388 059           3                 132                  2
188 653 224           3                 130                  3
123 088 619           3                 128                  4
140 227 380           3                 125                  5
613 587 708           3                 125                  5
820 318 376           3                 122                  7
322 455 601           3                 121                  8
752 447 300           3                 120                  9
341 862 274           3                 118                 10
352 770 440           3                 118                 10
605 228 857           3                 117                 12
386 582 209           3                 116                 13
520 861 147           3                 115                 14
341 170 520           3                 113                 15
805 673 225           3                 112                 16
058 337 221           3                 109                 17
883 013 419           3                 108                 18
771 034 220           3                  92                 19
253 748 800           4                 135                  1
581 443 306           4                 128                  2
608 147 385           4                 127                  3
203 547 682           4                 119                  4
238 817 324           4                 118                  5
227 413 309           4                 114                  6
267 264 554           4                 111                  7
876 116 484           4                 111                  7
240 672 535           4                  98                  9
708 532 676           4                  89                 10
325 061 141           5                 135                  1
655 182 061           5                 125                  2
172 283 087           5                 123                  3
320 328 172           5                 123                  3
023 461 759           5                 122                  5
453 370 249           5                 122                  5
761 320 878           5                 116                  7
135 024 461           5                 112                  8
304 467 715           5                 109                  9
146 830 229           5                 107                 10
327 410 536           6                 134                  1
401 866 512           6                 133                  2
442 056 131           6                 131                  3
760 187 138           6                 130                  4
315 844 100           6                 127                  5
502 476 625           6                 127                  5
823 807 656           6                 124                  7
482 533 874           6                 123                  8
756 041 349           6                 122                  9
374 381 705           6                 117                 10
385 582 036           6                 117                 10
018 866 558           6                 112                 12
021 668 249           6                 112                 12
318 553 088           6                 111                 14
278 668 108           6                 103                 15
611 830 548           7                 146                  1
877 033 415           7                 136                  2
726 725 344           7                 134                  3
520 683 111           7                 124                  4
827 166 505           7                 122                  5
135 426 401           7                 115                  6
816 218 374           7                 112                  7
341 860 518           8                 144                  1
164 401 739           8                 143                  2
552 332 801           8                 130                  3
486 085 376           8                 116                  4
814 066 585           8                 116                  4
038 146 551           8                 109                  6
081 781 437           8                 107                  7
140 346 719           8                 106                  8
337 705 446           8                 100                  9
261 250 732           9                 136                  1
823 173 554           9                 131                  2
315 068 858           9                 130                  3
054 337 712           9                 129                  4
442 813 564           9                 127                  5
866 071 129           9                 125                  6
807 331 129           9                 119                  7
685 680 126           9                 114                  8
778 160 457           9                 107                  9
344 523 501           9                  97                 10
078 623 725          10                 128                  1
720 423 177          10                 124                  2
455 061 382          10                 112                  3
655 224 301          10                 111                  4
437 051 352          10                  98                  5
120 677 836          10                  94                  6
645 811 308          10                  94                  6
377 312 814          11                 139                  1
833 711 088          11                 136                  2
625 118 864          11                 124                  3
744 530 270          11                 121                  4
605 281 161          11                 120                  5
405 825 837          11                 119                  6
357 452 200          11                 116                  7
703 145 870          11                 115                  8
756 206 876          11                 115                  8
850 228 537          11                 110                 10
725 301 352          11                  95                 11
302 355 482          12                 140                  1
234 610 582          12                 135                  2
523 104 180          12                 123                  3
321 173 544          12                 122                  4
061 164 471          12                 118                  5
406 411 587          12                 116                  6
557 381 324          12                 108                  7
061 328 829          12                 107                  8
261 274 674          12                 105                  9
023 883 556          12                 100                 10
771 461 027          13                 141                  1
521 473 017          13                 128                  2
527 465 066          13                 119                  3
304 714 611          13                 118                  4
580 465 227          13                 118                  4
318 310 471          13                 117                  6
384 504 510          13                 113                  7
046 275 277          13                 108                  8
318 312 071          13                 103                  9
682 547 864          13                 103                  9
332 205 871          13                  97                 11
506 844 265          13                  97                 11
110 674 629          14                 133                  1
554 026 732          14                 122                  2
742 266 109          14                 122                  2
072 544 661          14                 121                  4
402 613 889          14                 121                  4
281 730 622          14                 116                  6
640 835 278          14                 110                  7
