SIN,Salary_group
142 776 624,60k-70k
257 087 338,80k-90k
038 177 457,Under 5k
207 766 148,70k-80k
173 460 411,60k-70k
603 844 515,60k-70k
654 158 302,70k-80k
311 408 538,40k-50k
182 644 070,10k-20k
370 572 646,Under 5k
417 317 062,80k-90k
044 831 675,Under 5k
086 137 825,40k-50k
511 288 037,30k-40k
138 148 374,30k-40k
458 601 580,5k-10k
133 724 088,5k-10k
402 885 560,Over 100k
172 886 434,90k-100k
438 177 164,Under 5k
628 771 164,60k-70k
235 572 344,Over 100k
405 526 641,40k-50k
508 135 720,30k-40k
240 358 168,40k-50k
720 154 657,40k-50k
276 674 124,Under 5k
026 855 247,50k-60k
117 066 829,Under 5k
873 820 138,70k-80k
315 018 432,20k-30k
138 220 587,30k-40k
340 852 615,60k-70k
708 166 558,Under 5k
761 281 534,50k-60k
503 314 486,30k-40k
408 375 376,Under 5k
773 345 202,Over 100k
830 711 321,Over 100k
762 702 835,20k-30k
376 410 486,5k-10k
728 330 275,90k-100k
320 117 880,50k-60k
057 624 439,Under 5k
830 748 117,30k-40k
142 732 684,20k-30k
022 433 775,10k-20k
720 185 677,50k-60k
770 223 147,Under 5k
238 038 459,Under 5k
180 443 277,40k-50k
825 376 205,40k-50k
102 338 472,Over 100k
720 186 659,Under 5k
886 012 269,50k-60k
471 438 614,30k-40k
507 566 826,70k-80k
833 207 756,10k-20k
127 350 866,Over 100k
073 443 756,5k-10k
520 523 887,Under 5k
654 801 547,70k-80k
071 662 811,Under 5k
274 064 351,5k-10k
725 601 850,10k-20k
278 645 734,10k-20k
827 306 275,40k-50k
658 031 521,30k-40k
507 641 645,10k-20k
115 406 720,10k-20k
120 467 386,80k-90k
205 335 482,60k-70k
102 864 329,20k-30k
472 866 102,5k-10k
504 334 285,10k-20k
643 827 454,Over 100k
720 451 665,50k-60k
265 574 434,10k-20k
640 531 588,20k-30k
435 104 161,Under 5k
685 045 866,5k-10k
511 433 708,50k-60k
886 011 568,30k-40k
556 130 482,90k-100k
405 568 817,5k-10k
201 347 887,Over 100k
104 477 336,60k-70k
544 833 114,10k-20k
722 455 334,Over 100k
526 401 385,20k-30k
128 853 306,80k-90k
127 760 247,20k-30k
504 328 352,Under 5k
016 685 489,Under 5k
031 856 248,Over 100k
478 318 306,70k-80k
614 814 069,60k-70k
268 253 184,Over 100k
773 045 612,90k-100k
031 771 348,30k-40k
342 067 451,5k-10k
755 261 864,90k-100k
657 430 419,Under 5k
084 183 359,80k-90k
285 645 834,Over 100k
511 408 437,50k-60k
770 425 320,20k-30k
715 683 124,Under 5k
437 550 247,10k-20k
140 268 376,60k-70k
283 547 834,30k-40k
247 662 554,20k-30k
228 337 101,10k-20k
445 130 180,20k-30k
117 652 602,Over 100k
538 841 164,5k-10k
802 558 627,50k-60k
118 230 739,60k-70k
046 537 718,Under 5k
052 688 629,Under 5k
673 470 258,70k-80k
014 813 877,20k-30k
710 413 568,70k-80k
673 405 726,30k-40k
166 850 446,50k-60k
714 086 550,30k-40k
556 274 314,Over 100k
128 733 706,10k-20k
142 846 534,5k-10k
103 441 689,90k-100k
738 627 108,20k-30k
018 567 727,5k-10k
310 744 180,5k-10k
807 556 220,40k-50k
541 172 607,40k-50k
513 568 808,10k-20k
607 132 552,20k-30k
674 175 302,90k-100k
735 014 326,20k-30k
561 261 884,Under 5k
381 053 818,10k-20k
611 744 764,50k-60k
302 354 451,80k-90k
381 187 624,30k-40k
508 543 717,80k-90k
527 164 305,Over 100k
240 652 180,10k-20k
340 567 411,Over 100k
514 605 732,30k-40k
381 162 544,30k-40k
078 118 320,40k-50k
147 253 314,Under 5k
665 408 415,20k-30k
083 167 148,50k-60k
114 403 587,10k-20k
044 668 119,40k-50k
276 402 187,10k-20k
516 210 762,40k-50k
550 226 831,90k-100k
207 312 372,60k-70k
513 344 085,Over 100k
804 118 370,Over 100k
673 441 051,Over 100k
168 703 221,20k-30k
230 735 722,20k-30k
326 071 875,60k-70k
720 164 557,90k-100k
438 807 356,70k-80k
170 423 487,10k-20k
132 738 048,Under 5k
311 204 770,10k-20k
827 065 319,Over 100k
461 381 709,70k-80k
038 671 129,80k-90k
733 580 526,Over 100k
254 386 709,Over 100k
530 275 247,Under 5k
125 438 010,Over 100k
754 730 240,90k-100k
438 625 501,10k-20k
611 408 477,90k-100k
776 011 868,60k-70k
508 233 186,30k-40k
802 533 588,70k-80k
440 523 587,40k-50k
502 314 768,5k-10k
650 748 817,10k-20k
773 440 615,Over 100k
274 468 065,Under 5k
250 473 477,Over 100k
335 410 486,5k-10k
225 605 641,10k-20k
013 552 732,40k-50k
132 744 764,50k-60k
274 804 665,10k-20k
371 082 736,60k-70k
173 304 411,40k-50k
523 074 656,70k-80k
034 576 512,30k-40k
261 370 472,5k-10k
277 380 358,40k-50k
235 576 402,60k-70k
455 386 284,Over 100k
342 370 475,5k-10k
381 401 470,50k-60k
870 826 625,Over 100k
410 814 669,5k-10k
384 785 234,10k-20k
274 374 164,40k-50k
246 552 707,Under 5k
254 387 087,40k-50k
388 762 114,40k-50k
072 433 451,50k-60k
703 113 522,50k-60k
058 356 486,60k-70k
883 162 059,10k-20k
243 275 500,Under 5k
506 648 815,40k-50k
728 561 309,50k-60k
147 326 524,Under 5k
685 185 407,90k-100k
710 714 460,80k-90k
246 018 378,10k-20k
644 710 766,5k-10k
672 645 801,Over 100k
255 648 834,50k-60k
435 401 187,10k-20k
831 077 318,30k-40k
134 130 889,20k-30k
084 351 865,60k-70k
173 372 806,60k-70k
254 603 582,20k-30k
864 867 254,10k-20k
802 338 475,10k-20k
321 071 870,70k-80k
543 568 018,5k-10k
068 558 626,10k-20k
835 801 168,Over 100k
753 351 824,Over 100k
766 114 029,20k-30k
371 268 046,20k-30k
182 607 820,20k-30k
876 648 106,Under 5k
557 623 444,50k-60k
602 648 149,Under 5k
550 344 717,60k-70k
488 627 654,70k-80k
517 214 037,Under 5k
683 425 078,40k-50k
765 322 052,40k-50k
106 238 272,10k-20k
467 701 132,5k-10k
246 846 554,30k-40k
174 466 714,70k-80k
580 164 465,Over 100k
325 468 114,10k-20k
540 612 710,Over 100k
765 541 800,60k-70k
866 850 118,60k-70k
445 065 717,20k-30k
560 144 651,20k-30k
876 175 027,10k-20k
035 231 885,80k-90k
042 655 431,30k-40k
356 274 019,70k-80k
564 018 836,Under 5k
552 340 861,Under 5k
456 187 087,Over 100k
415 804 350,5k-10k
221 356 041,60k-70k
346 275 274,Over 100k
471 334 086,Under 5k
706 541 877,50k-60k
256 072 372,Over 100k
203 314 778,10k-20k
