 Police_SIN  Department  Num_Events_Handled  Departmental_Rank
130 844 517           1                  12                  1
265 468 108           1                  11                  2
120 677 836           1                  10                  3
607 744 315           1                   9                  4
177 104 460           1                   7                  5
532 580 727           2                   6                  1
821 058 260           2                   6                  1
677 211 302           2                   4                  3
134 851 344           2                   3                  4
172 672 602           3                  12                  1
355 861 402           3                   8                  2
238 740 187           3                   6                  3
807 331 129           3                   6                  3
